cName,dCity,FTLA,LTLA,FTLRate,LTLRate,reefCharge
Planet Express,Windsor,50,640,5.21,0.3621,0.08
Planet Express,Hamilton,50,640,5.21,0.3621,0.08
Planet Express,Oshawa,50,640,5.21,0.3621,0.08
Planet Express,Belleville,50,640,5.21,0.3621,0.08
Planet Express,Ottawa,50,640,5.21,0.3621,0.08
Schooner's,London,18,98,5.05,0.3434,0.07
Schooner's,London,Toronto,18,98,5.05,0.3434,0.07
Schooner's,London,Kingston,18,98,5.05,0.3434,0.07
Tillman Transport,Windsor,24,35,5.11,0.3012,0.09
Tillman Transport,London,18,45,5.11,0.3012,0.09
Tillman Transport,Hamilton,18,45,5.11,0.3012,0.09
We Haul,Ottawa,11,0,5.2,0,0.065
We Haul,Toronto,11,0,5.2,0,0.065
